random_seed,kernel_size,stride,n_filters,crop,max_prob,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,12,2,49,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,70.01501,69.74,72.380005,82.4,82.0,87.2
0,16,4,100,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,75.33833,76.44666,79.381676,84.4,85.2,90.0
0,16,4,49,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,39.293335,41.98666,56.485,64.4,65.6,70.0
0,16,2,49,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,32.72,36.225,49.815,57.6,61.6,65.200005
0,14,4,144,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,42.521667,45.103336,59.355,66.799995,69.2,72.799995
0,16,4,100,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,54.920002,56.859997,68.17333,72.799995,74.8,78.799995
0,16,4,144,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,71.596664,72.27334,74.34167,84.799995,86.4,86.4
0,12,4,100,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,61.743336,62.843334,70.958336,76.0,76.8,82.0
0,12,4,100,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,72.125,72.80167,77.61667,82.8,82.4,88.4
0,16,2,144,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,73.495,73.721664,74.51667,90.4,90.4,91.6
0,16,4,49,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,30.345,31.863335,47.356667,51.6,52.8,62.800003
0,16,2,100,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,62.15,62.295,69.28667,75.2,74.8,84.799995
0,16,4,100,4,0.5,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,69.145,70.15333,77.58167,82.8,83.600006,90.8
0,14,2,49,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,37.048332,39.696663,49.381668,54.000004,52.8,68.4
0,16,2,49,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,22.011665,24.345,39.40167,46.399998,48.0,58.8
0,16,2,49,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,35.65,37.286667,53.221664,60.000004,63.200005,69.2
0,12,4,144,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,78.451675,79.020004,80.21167,90.0,89.600006,92.0
0,12,4,100,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,51.088333,52.6,63.31333,68.0,69.6,74.8
0,12,2,49,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,63.028336,63.083332,66.6,80.0,78.4,85.6
0,14,2,49,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,51.013332,51.59,60.743336,66.399994,68.8,80.8
0,16,4,100,4,0.75,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,53.664997,55.466667,68.335,73.6,75.2,81.6
0,16,2,144,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,78.816666,79.585,80.403336,93.2,93.6,94.4
0,12,2,49,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,54.805,55.328335,58.426662,74.0,72.799995,78.4
0,16,4,144,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,70.61333,71.753334,77.31667,82.4,83.600006,90.0
0,16,2,100,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,78.34167,78.56834,80.32334,90.4,88.4,91.2
0,16,4,144,4,1.0,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,60.688335,62.70667,71.97666,79.6,80.0,86.0
0,14,2,144,4,0.75,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,74.66167,75.06334,76.14666,92.0,91.6,93.6
0,16,4,100,4,1.0,60000,500.0,75,1.0,0.05,1e-07,0.5,0.2,10,250,45.215,47.663338,61.263332,67.2,66.399994,72.399994
0,12,2,100,4,1.0,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,69.095,69.668335,71.09167,88.0,85.6,88.8
0,14,2,49,4,0.75,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,41.338333,43.493336,55.36,60.000004,61.6,70.4
0,14,2,49,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,26.353334,29.335,41.01167,48.4,48.8,55.6
0,16,2,100,4,0.75,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,71.759995,71.78666,75.36667,82.4,81.6,89.200005
0,14,2,49,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,53.993336,55.146667,65.84334,74.0,73.2,80.0
0,14,2,100,4,0.5,60000,500.0,50,1.0,0.05,1e-07,0.5,0.2,10,250,76.901665,77.00166,79.371666,89.200005,88.0,92.4
0,12,4,49,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,53.113335,54.895004,65.50833,66.799995,68.4,77.200005
0,14,2,144,4,0.5,60000,500.0,25,1.0,0.05,1e-07,0.5,0.2,10,250,75.810005,76.71167,78.005005,90.0,90.0,90.8
0,16,4,100,4,0.5,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,59.041668,60.978333,73.11667,78.0,79.6,85.2
0,16,4,100,4,1.0,60000,500.0,100,1.0,0.05,1e-07,0.5,0.2,10,250,36.920002,39.408333,55.165,62.0,65.200005,70.8
