random_seed,n_neurons,n_train,start_inhib,max_inhib,p_low,norm,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
14,200,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.48125,41.6125,42.875,63.0,65.0,58.999996
12,200,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.0875,41.4125,42.8375,60.000004,58.999996,60.000004
11,200,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.79375,45.25625,46.3375,64.0,64.0,64.0
15,200,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.71875,43.96875,44.9625,60.000004,60.000004,58.999996
14,200,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.1625,48.38125,49.21875,63.0,65.0,63.0
12,200,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.80625,43.00625,44.7125,65.0,65.0,58.0
13,200,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.8875,45.1875,46.26875,62.0,61.0,65.0
15,200,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.2,40.5375,43.225,60.000004,60.000004,58.0
12,200,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.20625,45.15625,46.75625,67.0,66.0,64.0
11,200,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.0875,43.74375,45.0625,62.0,61.0,63.0
14,300,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.875,58.48125,58.075,69.0,69.0,70.0
14,200,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.6625,42.0125,42.66875,58.999996,60.000004,58.999996
13,200,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.5875,46.7375,47.9,64.0,64.0,64.0
13,200,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.3625,43.8,44.46875,64.0,64.0,63.0
13,200,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.625,41.93125,43.0875,62.0,58.0,65.0
13,200,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.03125,40.3375,40.575,52.999996,56.0,55.0
14,200,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.575,40.175,40.26875,56.0,56.0,55.0
14,200,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.81875,43.35625,44.13125,60.000004,61.0,58.999996
11,200,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.61875,40.61875,40.6625,51.0,52.999996,54.000004
15,200,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,35.7125,36.4375,37.35,48.0,48.0,50.0
13,200,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.84375,40.53125,40.09375,54.000004,54.000004,52.0
12,200,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,35.96875,36.7875,36.8625,47.0,48.0,49.0
14,200,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,36.69375,37.375,37.325,52.999996,52.999996,49.0
11,200,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.1125,41.0125,41.83125,55.0,51.0,56.0
15,300,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.58125,57.9625,58.4375,70.0,70.0,71.0
15,200,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.35,39.90625,40.44375,54.000004,56.0,54.000004
12,200,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.075,39.96875,40.45625,51.0,54.000004,52.0
12,300,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.8875,58.3875,58.00625,72.0,74.0,70.0
11,300,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.45625,58.05625,58.5625,71.0,73.0,75.0
14,300,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.61875,48.4375,49.14375,62.0,62.0,64.0
12,200,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.875,42.0125,42.64375,58.999996,58.999996,58.999996
14,300,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.875,58.48125,58.075,69.0,69.0,70.0
15,200,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,41.89375,41.74375,42.65625,57.0,57.0,58.999996
11,200,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,42.59375,42.58125,43.6,62.0,63.0,61.0
13,300,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.825,58.65625,58.61875,71.0,71.0,73.0
15,300,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.66875,47.63125,48.46875,65.0,65.0,63.0
12,300,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.8875,58.3875,58.00625,72.0,74.0,70.0
11,300,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.45625,58.05625,58.5625,71.0,73.0,75.0
15,300,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.58125,57.9625,58.4375,70.0,70.0,71.0
12,300,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.6125,47.44375,48.6125,63.0,63.0,62.0
11,300,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.69375,48.81875,50.66875,61.0,61.0,65.0
14,300,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.875,58.48125,58.075,69.0,69.0,70.0
15,300,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.58125,57.9625,58.4375,70.0,70.0,71.0
14,300,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,46.15,46.16875,47.8375,64.0,65.0,65.0
15,300,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.63125,47.43125,49.65625,58.999996,58.999996,64.0
13,300,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.825,58.65625,58.61875,71.0,71.0,73.0
13,300,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.825,58.65625,58.61875,71.0,71.0,73.0
11,300,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.45625,58.05625,58.5625,71.0,73.0,75.0
14,300,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.825,47.73125,48.96875,61.0,61.0,64.0
11,300,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.49375,45.8375,46.96875,61.0,63.0,66.0
12,300,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.8875,58.3875,58.00625,72.0,74.0,70.0
13,300,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,50.225,50.2,51.38125,66.0,66.0,69.0
14,300,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.33125,43.45,44.39375,64.0,65.0,65.0
15,300,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.225,44.0625,45.575,58.999996,58.999996,58.0
14,300,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,38.4,38.19375,38.55,52.999996,52.0,56.0
14,300,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,50.40625,50.5125,51.20625,64.0,65.0,65.0
15,300,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.8875,44.38125,45.25625,65.0,65.0,64.0
14,300,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.7625,43.6625,44.95,60.000004,61.0,64.0
15,400,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.93125,58.525,58.775,68.0,68.0,70.0
15,400,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.93125,58.525,58.775,68.0,68.0,70.0
15,300,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.19375,48.16875,49.39375,61.0,61.0,64.0
12,300,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.1625,48.975,50.28125,65.0,64.0,62.0
15,400,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.93125,58.525,58.775,68.0,68.0,70.0
12,300,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.25,47.05,48.0,65.0,64.0,62.0
13,300,16000,0.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.225,48.31875,48.825,65.0,66.0,66.0
14,400,16000,0.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.825,58.46875,59.00625,73.0,73.0,75.0
12,300,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.36875,48.26875,48.66875,64.0,64.0,63.0
11,300,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.9875,46.2125,47.29375,58.999996,61.0,60.000004
11,300,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.63125,48.75,50.40625,66.0,66.0,67.0
13,300,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.99375,49.025,49.525,66.0,66.0,63.0
15,400,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.7,51.725,54.06875,66.0,65.0,66.0
14,300,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.8875,44.85625,46.11875,60.000004,60.000004,62.0
12,300,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.175,44.24375,44.88125,63.0,62.0,60.000004
12,300,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,43.9375,43.68125,44.4,65.0,64.0,62.0
15,400,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.275,47.99375,50.54375,64.0,64.0,63.0
11,300,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.08125,48.13125,49.18125,61.0,63.0,62.0
15,300,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,49.84375,49.725,52.2125,67.0,66.0,66.0
13,300,16000,0.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.575,44.83125,44.84375,63.0,63.0,62.0
13,300,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,37.95,38.48125,38.575,55.0,55.0,52.0
11,300,16000,2.5,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,51.25,51.2875,51.725,65.0,65.0,66.0
15,300,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.3875,44.79375,46.48125,63.0,63.0,63.0
11,300,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.975,40.9875,42.4875,56.0,58.0,57.0
14,300,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,40.4125,40.6375,41.5875,52.999996,54.000004,56.0
13,300,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.1375,39.61875,39.7,57.0,60.000004,57.0
13,300,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.2,45.4875,45.8,64.0,65.0,64.0
12,300,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,38.55625,39.375,40.075,52.999996,52.0,56.0
12,300,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.41875,44.33125,45.41875,62.0,61.0,62.0
13,300,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.2,48.0625,48.75,66.0,66.0,65.0
15,300,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,37.88125,38.8625,39.91875,56.0,57.0,54.000004
13,400,16000,1.0,100.0,0.25,62.5,250,1.0,5.0,1e-05,0.5,10,100,50.48125,50.36875,51.09375,66.0,66.0,67.0
15,300,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.5125,40.24375,41.3,57.0,55.0,57.0
15,400,16000,2.5,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,48.38125,48.3625,50.45625,63.0,63.0,64.0
11,300,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,44.06875,44.0625,45.35625,61.0,63.0,62.0
15,400,16000,2.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,45.6875,45.75,47.40625,63.0,63.0,64.0
11,300,16000,0.5,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,38.35625,39.06875,40.49375,54.000004,52.999996,54.000004
12,300,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.16875,39.5375,39.66875,58.999996,61.0,58.0
14,400,16000,1.0,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.825,58.46875,59.00625,73.0,73.0,75.0
14,400,16000,2.5,100.0,0.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,57.825,58.46875,59.00625,73.0,73.0,75.0
15,400,16000,1.0,100.0,1.0,62.5,250,1.0,5.0,1e-05,0.5,10,100,39.98125,40.48125,42.775,58.0,58.0,58.999996
13,400,16000,1.0,100.0,0.5,62.5,250,1.0,5.0,1e-05,0.5,10,100,47.31875,47.21875,47.48125,65.0,65.0,65.0
