seed,n_train,time,lr,lr_decay,update_interval,wmin,wmax,norm,mean_accuracy,max_accuracy
0,60000,10,0.001,0.9,-10.0,10.0,50.0,500,31.778,39.2
0,60000,10,0.001,0.95,-10.0,1.0,100.0,500,29.749998,37.8
0,60000,10,0.001,0.9,-0.1,0.1,250.0,500,28.450003,35.0
0,60000,10,0.001,0.9,-0.1,10.0,100.0,500,31.824001,38.4
0,60000,10,0.001,0.9,-1.0,0.1,50.0,500,31.564,39.399998
0,60000,10,0.001,0.95,-1.0,10.0,250.0,500,29.403997,39.8
0,60000,10,0.001,0.9,-0.1,10.0,250.0,500,30.645998,38.0
0,60000,10,0.05,0.9,-10.0,0.1,50.0,500,22.682001,39.0
0,60000,10,0.001,0.95,-10.0,10.0,100.0,500,29.85,39.2
0,60000,10,0.001,0.99,-0.1,10.0,100.0,500,23.282001,29.199999
0,60000,10,0.001,0.9,-1.0,10.0,100.0,500,31.826,38.0
0,60000,10,0.01,0.9,-0.1,0.1,50.0,500,26.698,39.2
0,60000,10,0.001,0.99,-0.1,10.0,250.0,500,24.750002,30.8
0,60000,10,0.05,0.9,-10.0,0.1,100.0,500,24.196,38.800003
0,60000,10,0.05,0.9,-10.0,1.0,100.0,500,24.414001,39.2
0,60000,10,0.05,0.9,-0.1,1.0,50.0,500,22.958,40.6
0,60000,10,0.05,0.9,-10.0,10.0,100.0,500,24.414001,39.2
0,60000,10,0.001,0.9,-1.0,10.0,250.0,500,30.63,37.8
0,60000,10,0.05,0.9,-10.0,10.0,250.0,500,27.006,39.8
0,60000,10,0.001,0.99,-1.0,0.1,50.0,500,19.636002,25.400002
0,60000,10,0.001,0.99,-1.0,0.1,100.0,500,23.282,28.8
0,60000,10,0.05,0.95,-1.0,1.0,250.0,500,18.87,34.0
0,60000,10,0.05,0.9,-1.0,10.0,50.0,500,22.846,40.6
0,60000,10,0.001,0.95,-0.1,0.1,100.0,500,29.71,37.2
0,60000,10,0.001,0.9,-1.0,1.0,100.0,500,31.870003,39.0
0,60000,10,0.05,0.9,-10.0,1.0,250.0,500,27.006,39.8
0,60000,10,0.05,0.9,-0.1,0.1,250.0,500,25.485998,37.6
0,60000,10,0.05,0.9,-10.0,0.1,250.0,500,26.569998,38.600002
0,60000,10,0.05,0.95,-0.1,0.1,50.0,500,13.052001,25.2
0,60000,10,0.05,0.9,-1.0,1.0,50.0,500,22.768,40.2
0,60000,10,0.05,0.99,-1.0,0.1,50.0,500,9.974,13.0
0,60000,10,0.001,0.95,-1.0,1.0,250.0,500,28.963999,38.4
0,60000,10,0.01,0.99,-1.0,1.0,100.0,500,11.212,14.599999
0,60000,10,0.05,0.99,-10.0,0.1,50.0,500,9.974,13.0
0,60000,10,0.05,0.9,-1.0,0.1,100.0,500,24.377998,38.800003
0,60000,10,0.05,0.95,-10.0,0.1,250.0,500,18.558,32.600002
0,60000,10,0.05,0.99,-10.0,1.0,250.0,500,10.082,13.2
0,60000,10,0.05,0.95,-0.1,0.1,100.0,500,15.31,29.199999
0,60000,10,0.05,0.95,-10.0,1.0,250.0,500,18.87,34.0
0,60000,10,0.05,0.9,-1.0,1.0,250.0,500,27.006,39.8
0,60000,10,0.001,0.95,-0.1,10.0,50.0,500,28.925999,39.399998
0,60000,10,0.05,0.9,-0.1,10.0,100.0,500,24.254,40.0
0,60000,10,0.05,0.99,-0.1,0.1,250.0,500,10.082001,13.2
0,60000,10,0.01,0.95,-1.0,0.1,250.0,500,25.478,38.4
0,60000,10,0.001,0.99,-0.1,10.0,50.0,500,19.683998,25.8
0,60000,10,0.05,0.95,-1.0,1.0,50.0,500,13.058,23.800001
