random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
3,8,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,69.01666666666667,70.8625,82,84
3,16,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,74.43333333333334,74.50833333333334,91,88
1,8,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,63.61666666666667,64.24166666666666,75,77
2,16,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.32083333333333,47.77916666666667,65,64
2,12,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,76.175,76.825,90,91
2,8,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.35416666666667,71.10833333333333,84,83
4,16,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.32916666666667,69.28333333333333,84,86
4,16,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,68.72916666666667,68.97916666666667,81,82
1,12,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,62.12083333333333,60.77916666666667,76,75
2,12,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.07083333333334,76.5625,91,92
3,8,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,68.65,70.1125,81,83
3,12,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,75.225,75.925,91,92
2,16,2,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,70.47916666666667,69.9125,85,84
3,12,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,73.9125,74.8875,92,91
3,16,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,72.02916666666667,71.52916666666667,89,88
4,12,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,70.42083333333333,71.54166666666667,88,88
4,12,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,71.35833333333333,72.5875,89,90
3,8,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.35,70.93333333333334,84,84
3,12,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.3875,75.32083333333334,91,90
1,16,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.1875,47.55,65,63
4,12,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,60.09166666666667,61.15833333333333,73,74
3,12,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.125,68.5,78,82
4,12,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.62916666666666,68.7,80,79
1,12,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.1375,59.49583333333333,73,74
3,12,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.42916666666667,59.78333333333333,75,72
3,16,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,62.56666666666667,61.36666666666667,75,75
3,16,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.86666666666666,76.81666666666666,92,92
2,16,2,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,72.0125,71.6625,84,84
4,16,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,74.1,73.8625,89,87
4,16,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,74.88333333333334,74.72916666666667,89,88
1,8,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,68.85416666666667,70.775,85,84
4,12,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,56.645833333333336,58.24166666666667,69,71
2,12,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.166666666666664,59.6,72,72
3,12,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.55833333333333,60.27916666666667,74,74
4,16,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.56666666666667,50.0625,64,65
4,12,4,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,75.0625,75.95416666666667,93,93
3,16,2,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,67.2,66.74583333333334,81,78
4,12,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,73.47916666666667,74.96666666666667,92,93
1,16,2,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,70.65833333333333,70.04583333333333,86,83
4,8,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,58.7125,59.11666666666667,74,73
1,16,2,25,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,71.82916666666667,71.12083333333334,85,84
3,16,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,77.0,76.8,91,90
2,12,2,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.24166666666666,68.67916666666666,85,84
4,8,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,59.00833333333333,60.05833333333333,74,76
3,8,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,71.69166666666666,73.30416666666666,88,89
3,8,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.25833333333334,72.57916666666667,87,88
3,12,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,76.0,76.60416666666667,91,91
4,16,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,62.641666666666666,62.1125,74,73
3,12,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,76.3125,76.95416666666667,92,91
4,16,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,77.22083333333333,77.05833333333334,92,90
3,12,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.29583333333333,77.03333333333333,90,90
4,16,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,63.19583333333333,63.00416666666667,79,76
3,16,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,67.35833333333333,66.425,83,81
4,16,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,76.28333333333333,76.38333333333334,92,91
1,12,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.52916666666667,56.825,72,69
1,8,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.29166666666667,73.1125,87,88
2,12,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.833333333333336,56.45,70,69
4,16,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,68.0375,67.925,81,81
4,8,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,64.85833333333333,65.925,81,82
4,8,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,65.06666666666666,66.52083333333333,82,78
4,8,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,63.87916666666667,64.52083333333333,77,77
1,8,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,71.38333333333334,73.34166666666667,86,88
1,8,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,71.00416666666666,72.74166666666666,86,90
4,12,4,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,74.1625,75.00416666666666,92,91
3,12,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.8375,68.4,82,81
2,8,4,36,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,71.37916666666666,73.05416666666666,89,90
2,16,2,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,64.53333333333333,62.46666666666667,80,78
5,16,4,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.85833333333333,69.20833333333333,80,81
2,8,4,36,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,71.0125,73.1625,86,88
5,16,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,62.68333333333333,63.7,76,75
2,12,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,68.75416666666666,68.31666666666666,83,82
5,12,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,70.2125,71.7,85,86
2,16,2,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.94583333333333,54.84166666666667,70,70
2,8,4,36,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,71.38333333333334,73.19583333333334,88,89
4,8,4,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,59.18333333333333,59.766666666666666,74,76
5,12,4,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,60.675,61.82083333333333,73,76
3,16,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,50.425,47.94166666666667,64,64
5,12,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,67.32083333333334,68.67083333333333,79,81
3,12,2,9,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,58.50416666666667,56.95,70,69
4,16,2,16,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,67.02916666666667,66.3375,82,82
1,16,2,25,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,65.55416666666666,63.1875,80,76
5,16,4,16,60000,100.0,250,1.0,0.05,1e-07,0.45,10,250,63.729166666666664,63.62916666666667,76,76
4,16,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,62.75,60.8375,79,72
5,16,4,25,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,73.99583333333334,74.26666666666667,91,90
4,16,2,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,67.59583333333333,67.0,81,82
3,8,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,61.5625,60.291666666666664,75,74
3,16,2,9,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,63.46666666666667,62.7625,75,74
5,16,4,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.02916666666667,69.65,84,83
1,8,2,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.25416666666667,60.12083333333333,74,72
5,16,4,9,60000,300.0,250,1.0,0.05,1e-07,0.45,10,250,61.03333333333333,61.46666666666667,78,78
3,12,2,16,60000,500.0,250,1.0,0.05,1e-07,0.45,10,250,69.05,68.69583333333334,83,84
