random_seed,kernel_size,stride,n_filters,crop,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,16,4,100,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,84.535,85.55,86.35667,94.0,94.8,95.6
0,16,4,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,34.866665,34.866665,34.84,68.0,68.0,67.2
0,16,2,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,72.255,72.43166,73.24,86.4,85.2,87.2
0,16,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,72.24833,73.20167,76.095,85.2,86.4,89.600006
0,16,4,49,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,72.07834,73.38,78.70667,84.4,84.4,88.0
0,16,2,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,70.615005,70.583336,72.805,81.2,80.0,86.4
0,16,4,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,60.508335,60.52667,60.371666,84.0,84.0,84.0
0,12,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,72.670006,73.46667,78.4,82.8,83.600006,88.8
0,12,2,49,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,78.884995,79.06334,81.555,92.0,90.4,93.6
0,16,4,100,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,82.97834,84.301674,85.740005,91.2,93.2,94.8
0,8,4,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,70.46333,72.65333,78.353325,81.2,83.200005,88.4
0,16,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,26.911665,27.021667,26.938334,60.000004,60.000004,62.4
0,16,4,100,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,83.91,84.86167,86.325,92.0,94.4,95.6
0,16,2,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,86.566666,87.083336,87.35167,94.0,94.4,96.0
0,12,4,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,63.50834,64.81,73.50833,79.2,80.0,87.2
0,12,2,25,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,74.37167,73.84834,76.958336,91.2,89.600006,90.0
0,12,2,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,74.96333,74.53,77.2,89.200005,89.200005,90.0
0,12,4,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,62.57,63.195004,73.35999,82.0,82.8,88.0
0,16,2,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,79.39167,80.881676,83.996666,88.0,89.200005,90.8
0,12,4,100,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,81.57667,82.72,85.85334,92.4,91.6,93.6
0,16,4,100,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,78.65666,80.18667,83.89334,88.0,90.0,92.799995
0,16,2,49,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,76.44666,76.69833,78.71333,88.4,86.0,91.6
0,8,4,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,78.48167,79.985,84.02166,91.2,92.4,94.0
0,16,4,100,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,85.06999,85.85334,86.83667,94.4,95.200005,94.0
0,16,2,49,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,79.53833,79.60334,80.918335,91.6,90.8,90.4
0,16,4,144,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,87.28333,87.96833,88.579994,96.0,96.8,96.8
0,16,4,144,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,85.94667,86.97834,87.88333,93.6,94.0,95.200005
0,8,4,144,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,79.22834,80.58833,85.19334,90.0,92.799995,94.8
0,16,2,49,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,78.775,78.79001,79.87334,87.6,88.0,88.4
0,16,4,49,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,79.67834,80.09499,82.54333,93.2,91.6,93.2
0,16,4,144,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,82.14167,83.346664,85.728325,90.4,91.6,94.4
0,16,4,49,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,80.496666,81.025,82.515,90.0,89.600006,90.8
0,16,2,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,72.42834,72.02166,73.689995,89.600006,85.2,85.6
0,12,4,100,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,85.204994,86.26667,88.066666,94.8,94.4,95.6
0,16,4,144,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,80.72834,82.51167,84.740005,88.8,90.4,92.4
0,12,2,25,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,69.44833,69.066666,73.43501,82.0,82.0,84.4
0,16,4,144,4,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,85.635,86.604996,87.505005,95.200005,95.6,98.0
0,12,4,100,3,60000,250.0,300,1.0,0.05,1e-07,0.5,0.3,10,250,84.58833,85.71333,87.6,94.8,94.4,96.4
0,16,4,25,5,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,41.93,42.163334,42.275,68.8,68.8,68.0
0,8,4,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.1,10,250,64.50833,66.079994,74.98833,77.600006,79.2,87.6
0,16,2,25,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,71.746666,71.28834,72.308334,82.8,80.8,82.8
0,16,4,49,2,60000,250.0,300,1.0,0.05,1e-07,0.5,0.2,10,250,81.125,81.63167,83.365005,91.2,90.8,92.799995
