seed,n_train,kernel_size,stride,n_filters,padding,inhib,time,dt,intensity,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,60000,6,2,9,0,100.0,100,1.0,0.5,250,10.126667,10.141666,13.246668,16.4,16.4,19.6
1,60000,16,2,64,0,100.0,25,1.0,0.5,250,12.696668,13.093333,14.166667,21.6,22.400002,20.800001
1,60000,8,4,49,0,100.0,100,1.0,0.5,250,9.7300005,9.765,11.756667,15.2,16.0,18.4
1,60000,12,2,64,0,100.0,25,1.0,0.5,250,12.033334,12.145,11.79,18.0,18.0,19.6
1,60000,12,4,81,0,100.0,100,1.0,0.5,250,9.92,9.915,11.201667,15.6,15.2,17.2
1,60000,16,4,81,0,100.0,25,1.0,0.5,250,12.905,13.363334,14.735,20.0,21.199999,22.0
1,60000,16,4,36,0,100.0,50,1.0,0.5,250,10.323334,10.348333,12.288334,17.6,17.6,18.4
1,60000,8,2,16,0,100.0,100,1.0,0.5,250,11.8116665,11.976666,13.243334,18.0,18.8,21.6
1,60000,14,2,25,0,100.0,100,1.0,0.5,250,20.441668,22.394999,22.22,30.4,31.600002,34.8
1,60000,16,4,49,0,100.0,50,1.0,0.5,250,10.305001,10.309999,12.11,17.2,16.8,18.0
1,60000,16,2,36,0,100.0,50,1.0,0.5,250,11.198334,11.213334,12.153333,18.4,17.6,18.4
1,60000,4,2,25,0,100.0,25,1.0,0.5,250,50.82333,51.94,40.141666,64.4,66.0,59.2
1,60000,16,4,64,0,100.0,50,1.0,0.5,250,10.940001,10.95,12.448334,15.6,16.4,20.4
1,60000,16,4,100,0,100.0,25,1.0,0.5,250,21.133333,23.463331,18.263334,30.000002,37.2,28.400002
1,60000,12,2,49,0,100.0,50,1.0,0.5,250,10.991667,11.0199995,11.25,17.2,17.6,16.8
1,60000,8,4,100,0,100.0,50,1.0,0.5,250,42.789997,44.620003,35.039997,59.2,60.8,53.600002
1,60000,16,2,81,0,100.0,25,1.0,0.5,250,13.523334,13.903334,14.376666,20.0,21.199999,21.6
1,60000,16,2,9,0,100.0,100,1.0,0.5,250,9.895,9.866667,11.226666,14.8,14.8,16.0
1,60000,16,4,81,0,100.0,50,1.0,0.5,250,11.016666,10.985,12.853333,17.2,16.8,20.0
1,60000,6,2,36,0,100.0,25,1.0,0.5,250,14.933333,15.47,11.64,22.400002,23.199999,16.4
1,60000,16,4,9,0,100.0,100,1.0,0.5,250,9.545,9.561666,10.8,14.4,14.4,15.6
1,60000,4,4,64,0,100.0,50,1.0,0.5,250,13.683333,13.785,11.930001,20.800001,20.0,20.4
1,60000,12,2,25,0,100.0,100,1.0,0.5,250,21.941668,22.683332,21.933332,34.0,34.8,36.399998
1,60000,16,2,16,0,100.0,100,1.0,0.5,250,10.4783325,10.486666,12.295,16.0,15.6,19.6
