random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,norm,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
1,200,16000,100.0,250,1.0,5.0,1e-05,87.5,0.5,10,100,53.0375,53.28125,55.88125,70.0,69.0,74.0
1,200,16000,100.0,250,1.0,10.0,0.0001,87.5,0.5,10,100,55.06875,55.5375,55.6625,67.0,66.0,68.0
1,200,16000,100.0,250,1.0,5.0,0.001,62.575,0.5,10,100,50.04375,50.23125,50.84375,65.0,64.0,64.0
1,200,16000,100.0,250,1.0,5.0,1e-05,62.575,0.5,10,100,55.8125,56.0125,57.475,69.0,70.0,73.0
1,200,16000,100.0,250,1.0,10.0,0.0001,62.575,0.5,10,100,55.83125,55.975,55.96875,71.0,71.0,68.0
1,200,16000,100.0,250,1.0,5.0,1e-05,37.5,0.5,10,100,57.34375,57.51875,58.425,69.0,69.0,69.0
1,200,16000,100.0,250,1.0,1.0,0.0001,37.5,0.5,10,100,45.2125,45.90625,46.01875,58.999996,61.0,58.999996
1,200,16000,100.0,250,1.0,1.0,0.001,37.5,0.5,10,100,43.6875,43.78125,43.94375,62.0,61.0,58.0
1,200,16000,100.0,250,1.0,10.0,0.001,50.0,0.5,10,100,50.74375,50.9,52.14375,63.0,63.0,67.0
1,200,16000,100.0,250,1.0,10.0,0.0001,75.0,0.5,10,100,55.60625,55.75625,56.1875,71.0,72.0,71.0
1,200,16000,100.0,250,1.0,5.0,1e-05,75.0,0.5,10,100,54.44375,54.20625,56.5625,72.0,68.0,67.0
1,200,16000,100.0,250,1.0,10.0,1e-05,62.575,0.5,10,100,53.8875,54.05625,55.68125,66.0,67.0,68.0
1,200,16000,100.0,250,1.0,10.0,1e-05,75.0,0.5,10,100,53.29375,53.16875,55.5125,67.0,66.0,69.0
1,200,16000,100.0,250,1.0,10.0,1e-05,50.0,0.5,10,100,54.075,54.36875,55.71875,67.0,67.0,69.0
1,200,16000,100.0,250,1.0,10.0,0.001,37.5,0.5,10,100,48.50625,48.9625,49.66875,64.0,62.0,64.0
1,200,16000,100.0,250,1.0,10.0,0.001,62.575,0.5,10,100,52.39375,52.4625,53.09375,63.0,64.0,66.0
1,200,16000,100.0,250,1.0,10.0,1e-05,37.5,0.5,10,100,55.125,55.29375,56.15,71.0,68.0,68.0
1,200,16000,100.0,250,1.0,10.0,0.001,75.0,0.5,10,100,53.14375,53.2625,53.1625,65.0,65.0,66.0
1,200,16000,100.0,250,1.0,10.0,1e-05,87.5,0.5,10,100,52.30625,52.2875,53.975,66.0,65.0,65.0
1,200,16000,100.0,250,1.0,5.0,1e-05,50.0,0.5,10,100,56.35625,56.5875,57.8875,67.0,68.0,71.0
1,200,16000,100.0,250,1.0,10.0,0.001,87.5,0.5,10,100,52.2125,52.29375,53.0125,64.0,63.0,66.0
1,300,16000,100.0,250,1.0,1.0,1e-05,37.5,0.5,10,100,53.83125,54.35,55.93125,68.0,68.0,70.0
1,300,16000,100.0,250,1.0,1.0,1e-05,62.575,0.5,10,100,55.85625,56.0625,56.6375,68.0,68.0,69.0
1,300,16000,100.0,250,1.0,1.0,1e-05,75.0,0.5,10,100,56.475,56.675,57.4375,71.0,71.0,72.0
1,300,16000,100.0,250,1.0,1.0,1e-05,87.5,0.5,10,100,56.725,56.975,57.5875,70.0,71.0,70.0
1,300,16000,100.0,250,1.0,1.0,1e-05,50.0,0.5,10,100,55.66875,55.94375,57.40625,77.0,78.0,70.0
1,300,16000,100.0,250,1.0,1.0,0.0001,37.5,0.5,10,100,46.85,47.08125,46.43125,62.0,62.0,63.0
1,300,16000,100.0,250,1.0,1.0,0.001,50.0,0.5,10,100,45.13125,45.49375,45.875,58.0,58.999996,58.999996
1,300,16000,100.0,250,1.0,1.0,0.001,75.0,0.5,10,100,46.06875,46.48125,47.8875,61.0,63.0,63.0
