random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,50,5500,100.0,150,1.0,0.05,5e-06,0.5,10,100,47.036366,47.145454,56.98182,58.0,58.999996,66.0
0,100,5500,100.0,150,1.0,0.05,5e-06,0.5,10,100,45.145454,45.30909,56.581818,58.999996,58.999996,65.0
0,100,5500,100.0,150,1.0,0.05,1e-07,0.5,10,100,45.145454,45.30909,56.581818,58.999996,58.999996,65.0
0,75,5500,100.0,50,1.0,0.625,5e-06,0.5,10,100,47.69091,48.145454,52.236362,62.0,63.0,67.0
0,75,5500,100.0,50,1.0,0.625,1e-06,0.5,10,100,47.69091,48.145454,52.236362,62.0,63.0,67.0
0,75,5500,100.0,50,1.0,0.625,1e-07,0.5,10,100,47.69091,48.145454,52.236362,62.0,63.0,67.0
0,200,5500,100.0,50,1.0,1.0,1e-06,0.5,10,100,48.52727,49.30909,52.563637,61.0,61.0,63.0
0,100,5500,100.0,100,1.0,0.625,1e-07,0.5,10,100,49.345455,49.47273,58.21818,62.0,64.0,71.0
0,25,5500,100.0,150,1.0,0.25,1e-07,0.5,10,100,48.945454,49.127274,54.69091,58.999996,60.000004,69.0
0,200,5500,100.0,50,1.0,0.625,1e-07,0.5,10,100,46.98182,47.454544,52.436363,60.000004,61.0,68.0
0,100,5500,100.0,150,1.0,0.25,5e-06,0.5,10,100,46.30909,46.30909,57.836365,58.999996,58.999996,65.0
0,200,5500,100.0,50,1.0,1.0,1e-07,0.5,10,100,48.52727,49.30909,52.563637,61.0,61.0,63.0
0,100,5500,100.0,150,1.0,0.25,1e-06,0.5,10,100,46.30909,46.30909,57.836365,58.999996,58.999996,65.0
0,200,5500,100.0,100,1.0,0.05,1e-07,0.5,10,100,46.836365,46.618183,56.854546,57.0,58.999996,70.0
