random_seed,n_neurons,n_train,excite,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,X_Ae_decay,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.09583333333333,83.47916666666667,94,92
2,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.34583333333333,83.8875,93,94
1,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.4375,84.0,93,93
1,225,60000,100.0,450.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.4375,84.0,93,93
1,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,82.04583333333333,82.70833333333333,92,92
2,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.475,83.90833333333333,93,93
2,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.64166666666667,84.2125,94,94
1,225,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.15833333333333,83.45416666666667,91,92
2,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.64166666666667,84.2125,94,94
1,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,82.04583333333333,82.70833333333333,92,92
2,225,60000,100.0,500.0,275,1.0,0.05,1e-07,0.45,10,250,0.25,83.64166666666667,84.2125,94,94
1,225,60000,100.0,550.0,275,1.0,0.05,1e-07,0.45,10,250,0.75,83.15833333333333,83.45416666666667,91,92
1,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.5,83.09583333333333,83.47916666666667,94,92
1,400,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.0,82.06666666666666,82.3875,94,94
1,400,60000,100.0,500.0,200,1.0,0.05,1e-07,0.45,10,250,0.5,82.06666666666666,82.3875,94,94
1,225,60000,100.0,400.0,275,1.0,0.05,1e-07,0.45,10,250,0.0,83.09583333333333,83.47916666666667,94,92
