random_seed,kernel_size,stride,n_filters,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,max_all_activity,max_proportion_weighting
1,24,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.1125,79.65833333333333,92,93
1,22,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.64583333333333,85.20416666666667,94,95
1,20,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.29583333333333,85.54583333333333,96,95
1,12,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.27916666666667,80.5875,96,96
1,24,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.44166666666666,84.0375,94,95
5,18,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.14166666666667,79.15,90,89
1,26,2,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,79.45833333333333,80.20416666666667,90,90
1,22,4,196,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,85.80833333333334,86.38333333333334,97,96
2,12,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,80.57916666666667,81.30416666666666,95,94
1,24,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,83.39166666666667,83.99166666666666,92,94
5,16,4,121,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.9625,85.35833333333333,95,94
1,26,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,81.32083333333334,81.8625,91,92
1,24,2,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,82.55416666666666,82.8625,92,92
1,26,4,81,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,76.2375,76.26666666666667,87,87
1,20,4,100,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,84.27916666666667,84.4375,94,94
1,26,4,64,60000,300.0,300,1.0,0.05,1e-07,0.45,10,250,77.15416666666667,77.23333333333333,87,87
