seed,n_hidden,n_train,time,lr,lr_decay,update_interval,mean_accuracy,max_accuracy
0,128,60000,25,0.01,0.995,500,85.88,92.0
0,128,60000,25,0.01,0.95,500,86.50833,92.2
0,128,60000,25,0.025,0.95,500,87.13667,92.2
1,256,60000,10,0.025,0.99,500,59.875,72.6
0,128,60000,25,0.0075,0.995,500,85.64334,91.2
0,128,60000,25,0.0075,1.0,500,85.348335,90.8
1,256,60000,10,0.025,1.0,500,36.805,71.8
0,128,60000,25,0.0075,0.95,500,85.868324,91.6
0,256,60000,25,0.025,0.95,500,87.35167,93.0
0,256,60000,25,0.01,0.99,500,86.17834,91.399994
0,128,60000,25,0.0075,0.9,500,84.704994,90.0
0,256,60000,25,0.0075,1.0,500,85.19666,91.2
0,256,60000,25,0.01,0.995,500,85.93333,92.0
0,256,60000,25,0.025,0.995,500,80.75166,86.4
0,256,60000,25,0.0075,0.95,500,86.03333,91.6
0,256,60000,25,0.0075,0.995,500,85.45667,91.2
0,256,60000,25,0.01,0.9,500,85.99,91.399994
0,256,60000,25,0.0075,0.99,500,85.621666,91.6
0,256,60000,25,0.0075,0.9,500,85.01333,90.200005
0,256,60000,25,0.025,0.9,500,87.51667,92.0
0,256,60000,25,0.01,1.0,500,85.41,90.6
1,64,60000,25,0.025,0.995,500,22.036669,77.600006
0,256,60000,25,0.025,0.99,500,84.28167,90.8
0,256,60000,25,0.01,0.95,500,86.21,91.399994
0,512,60000,25,0.01,1.0,500,84.916664,90.6
1,64,60000,25,0.025,0.99,500,28.51167,74.8
0,512,60000,25,0.025,0.9,500,87.42334,92.0
0,512,60000,25,0.01,0.995,500,85.43166,91.399994
0,512,60000,25,0.01,0.99,500,85.65166,92.2
0,512,60000,25,0.0075,1.0,500,84.63667,90.8
0,512,60000,25,0.0075,0.99,500,85.12,91.399994
0,512,60000,25,0.01,0.9,500,85.454994,90.6
0,512,60000,25,0.0075,0.95,500,85.590004,91.2
1,64,60000,25,0.025,1.0,500,33.77,75.6
0,512,60000,25,0.0075,0.995,500,84.958336,91.2
1,64,60000,25,0.0075,0.95,500,85.27166,91.799995
1,64,60000,25,0.0075,0.9,500,84.23999,90.8
0,512,60000,25,0.025,1.0,500,72.829994,81.6
1,64,60000,25,0.0075,0.99,500,85.15667,92.6
1,64,60000,25,0.01,0.9,500,85.166664,90.0
1,64,60000,25,0.0075,1.0,500,84.40168,91.0
0,512,60000,25,0.01,0.95,500,85.93667,91.2
1,64,60000,25,0.0075,0.995,500,84.916664,91.399994
1,64,60000,25,0.01,0.995,500,84.95,91.2
0,512,60000,25,0.025,0.995,500,74.06333,84.799995
0,512,60000,25,0.0075,0.9,500,84.98333,90.6
1,64,60000,25,0.025,0.9,500,85.42667,90.200005
1,64,60000,25,0.01,1.0,500,84.225,89.4
1,64,60000,25,0.01,0.99,500,85.44666,92.2
1,64,60000,25,0.01,0.95,500,85.86167,91.2
0,512,60000,25,0.025,0.95,500,87.096664,92.2
1,64,60000,25,0.025,0.95,500,85.23499,91.799995
0,128,60000,25,0.0075,0.99,500,85.746666,91.0
1,256,60000,10,0.025,0.95,500,77.88667,85.6
0,128,60000,25,0.01,1.0,500,85.33667,91.0
1,32,60000,50,0.025,1.0,500,11.823334,57.4
1,32,60000,50,0.025,0.99,500,12.041667,56.800003
1,32,60000,50,0.025,0.95,500,12.76,62.199997
1,512,60000,10,0.0075,0.995,500,84.91333,91.399994
1,512,60000,10,0.0075,0.99,500,85.191666,92.0
1,512,60000,10,0.0075,0.95,500,85.35,92.0
1,512,60000,10,0.01,0.9,500,85.293335,91.2
1,512,60000,10,0.01,0.995,500,85.36167,92.0
1,512,60000,10,0.01,0.95,500,85.829994,92.6
1,512,60000,10,0.0075,1.0,500,84.71667,91.399994
0,32,60000,50,0.025,0.995,500,28.413334,76.8
1,32,60000,50,0.025,0.995,500,11.935,57.200005
1,512,60000,10,0.025,0.99,500,75.615005,84.4
1,512,60000,10,0.01,0.99,500,85.74167,92.2
1,512,60000,10,0.01,1.0,500,84.92334,91.2
1,512,60000,10,0.025,0.9,500,86.806656,92.4
1,512,60000,10,0.025,0.995,500,74.01667,82.4
1,512,60000,10,0.025,0.95,500,86.555,92.6
1,128,60000,25,0.025,0.995,500,17.816668,77.0
1,512,60000,10,0.0075,0.9,500,84.09334,90.0
1,512,60000,10,0.025,1.0,500,66.55167,77.200005
0,64,60000,50,0.025,0.995,500,80.67333,87.2
0,64,60000,50,0.0075,0.995,500,84.825,91.0
0,64,60000,50,0.01,1.0,500,84.35334,90.6
0,64,60000,50,0.0075,0.99,500,85.104996,91.399994
0,64,60000,50,0.0075,0.95,500,85.07333,91.0
0,64,60000,50,0.025,0.99,500,82.743324,90.4
0,32,60000,50,0.025,0.99,500,55.928337,77.200005
0,64,60000,50,0.01,0.95,500,85.895004,91.799995
0,64,60000,50,0.01,0.9,500,85.18166,90.0
0,32,60000,50,0.01,0.95,500,84.255,89.600006
0,64,60000,50,0.0075,1.0,500,84.43,90.8
0,32,60000,50,0.0075,0.95,500,83.74834,89.4
0,32,60000,50,0.025,0.95,500,83.493324,88.4
0,32,60000,50,0.0075,0.99,500,82.776665,87.8
0,64,60000,50,0.01,0.99,500,85.445,91.399994
1,32,60000,50,0.0075,1.0,500,81.88667,90.200005
2,32,60000,10,0.0075,0.9,500,82.05166,88.4
1,32,60000,50,0.01,0.99,500,82.78833,89.0
0,32,60000,50,0.01,1.0,500,80.67166,86.0
0,32,60000,50,0.0075,1.0,500,81.34667,87.2
1,32,60000,50,0.025,0.9,500,22.133333,59.2
1,32,60000,50,0.01,0.995,500,82.13333,88.200005
0,64,60000,50,0.025,1.0,500,74.31333,82.4
2,32,60000,10,0.0075,0.95,500,83.244995,88.8
0,32,60000,50,0.01,0.995,500,81.75833,87.2
2,32,60000,10,0.0075,0.99,500,82.42833,88.0
0,64,60000,50,0.025,0.9,500,86.72334,92.0
0,64,60000,50,0.01,0.995,500,85.021675,90.8
1,32,60000,50,0.0075,0.9,500,82.50667,89.0
0,32,60000,50,0.01,0.9,500,83.604996,88.8
0,64,60000,50,0.0075,0.9,500,83.923325,89.600006
1,32,60000,50,0.0075,0.95,500,83.905,90.4
1,32,60000,50,0.0075,0.995,500,82.755,90.0
0,32,60000,50,0.025,0.9,500,84.67334,89.200005
1,32,60000,50,0.01,0.95,500,84.261665,89.8
1,128,60000,25,0.025,0.99,500,42.013332,78.2
1,32,60000,50,0.01,1.0,500,81.04333,86.799995
0,32,60000,50,0.025,1.0,500,31.068333,75.2
1,32,60000,50,0.01,0.9,500,83.59834,88.4
2,32,60000,10,0.025,0.9,500,17.488335,78.6
2,32,60000,10,0.025,0.99,500,13.616667,69.2
1,128,60000,25,0.0075,0.99,500,85.611664,93.0
1,128,60000,25,0.01,0.95,500,86.291664,92.4
2,32,60000,10,0.025,1.0,500,12.535001,68.4
1,128,60000,25,0.01,0.9,500,85.73499,91.6
1,128,60000,25,0.0075,0.9,500,84.896675,90.4
1,128,60000,25,0.025,0.95,500,85.48833,92.4
2,32,60000,10,0.025,0.995,500,13.078335,71.6
1,128,60000,25,0.0075,0.95,500,85.90833,92.4
1,128,60000,25,0.01,0.995,500,85.67667,92.2
2,32,60000,10,0.01,0.9,500,83.343346,88.8
2,32,60000,10,0.025,0.95,500,20.615,72.6
1,128,60000,25,0.025,0.9,500,86.025,91.6
1,128,60000,25,0.0075,1.0,500,85.055016,91.399994
0,64,60000,50,0.025,0.95,500,86.51501,92.6
2,32,60000,10,0.01,0.99,500,82.18833,87.0
2,32,60000,10,0.01,0.995,500,81.541664,87.0
2,32,60000,10,0.01,0.95,500,83.89666,89.200005
2,32,60000,10,0.01,1.0,500,80.33499,87.4
1,128,60000,25,0.025,1.0,500,41.938335,75.0
0,32,60000,50,0.01,0.99,500,82.46333,87.6
1,128,60000,25,0.01,0.99,500,86.113335,93.0
1,128,60000,25,0.01,1.0,500,85.02166,90.8
2,32,60000,10,0.0075,1.0,500,81.020004,87.6
0,32,60000,50,0.0075,0.9,500,82.23833,88.4
2,64,60000,10,0.0075,0.9,500,83.68667,89.4
2,64,60000,10,0.0075,0.95,500,84.92166,91.0
2,64,60000,10,0.0075,0.99,500,84.78833,90.8
2,64,60000,10,0.0075,0.995,500,84.58,91.399994
2,64,60000,10,0.0075,1.0,500,83.965004,90.0
2,64,60000,10,0.01,0.9,500,84.956665,89.600006
2,64,60000,10,0.01,0.95,500,85.596664,91.0
0,32,60000,50,0.0075,0.995,500,82.12334,87.2
2,64,60000,10,0.01,0.99,500,85.005,90.8
2,64,60000,10,0.01,1.0,500,83.7,90.4
2,64,60000,10,0.025,0.9,500,85.29,90.6
1,256,60000,25,0.0075,0.9,500,84.775,90.0
2,32,60000,10,0.0075,0.995,500,81.77333,87.2
2,64,60000,10,0.025,0.95,500,84.62667,91.0
1,64,60000,50,0.025,0.99,500,14.746668,72.2
1,64,60000,50,0.025,0.995,500,13.916667,74.6
2,64,60000,10,0.025,0.99,500,70.35833,84.799995
2,64,60000,10,0.025,0.995,500,70.831665,82.0
2,64,60000,10,0.01,0.995,500,84.53833,90.200005
2,64,60000,10,0.025,1.0,500,43.078327,75.4
1,32,60000,50,0.0075,0.99,500,83.23833,90.0
1,256,60000,25,0.025,0.995,500,14.52,69.8
1,64,60000,50,0.025,1.0,500,18.603333,72.799995
1,256,60000,25,0.025,1.0,500,20.718332,70.200005
1,256,60000,25,0.0075,0.995,500,85.348335,92.0
1,256,60000,25,0.01,0.9,500,85.51667,91.0
1,256,60000,25,0.01,0.95,500,86.24832,92.4
1,256,60000,25,0.01,0.995,500,85.80167,92.2
1,256,60000,25,0.0075,1.0,500,85.083336,91.6
1,256,60000,25,0.01,0.99,500,86.03,92.0
1,256,60000,25,0.01,1.0,500,85.10833,90.0
1,64,60000,50,0.0075,0.995,500,84.925,91.2
1,64,60000,50,0.01,0.995,500,84.92166,91.6
1,256,60000,25,0.025,0.95,500,78.458336,85.6
1,256,60000,25,0.025,0.99,500,50.918335,71.0
1,64,60000,50,0.0075,1.0,500,84.42333,91.0
1,64,60000,50,0.0075,0.9,500,84.30501,90.6
1,64,60000,50,0.01,0.99,500,85.368324,91.799995
1,64,60000,50,0.025,0.9,500,85.08833,90.4
1,256,60000,25,0.025,0.9,500,81.816666,86.799995
1,64,60000,50,0.01,0.9,500,85.189995,90.4
1,64,60000,50,0.0075,0.99,500,85.14333,92.2
1,64,60000,50,0.0075,0.95,500,85.31167,91.6
2,32,60000,25,0.025,0.99,500,12.048334,63.800003
2,32,60000,25,0.025,1.0,500,11.763334,64.4
2,32,60000,25,0.025,0.9,500,19.570002,68.4
1,64,60000,50,0.01,0.95,500,85.84,91.6
1,64,60000,50,0.01,1.0,500,84.240005,89.600006
1,64,60000,50,0.025,0.95,500,82.18499,88.6
1,512,60000,25,0.025,0.95,500,12.331666,52.0
1,512,60000,25,0.025,0.99,500,11.416667,52.399998
1,512,60000,25,0.025,0.995,500,11.633333,52.2
1,512,60000,25,0.025,1.0,500,11.285001,52.2
2,32,60000,25,0.0075,0.99,500,83.18,88.4
2,32,60000,25,0.0075,0.995,500,82.651665,89.0
0,128,60000,50,0.025,0.9,500,87.270004,92.0
0,128,60000,50,0.0075,0.99,500,85.775,91.0
0,128,60000,50,0.01,0.95,500,86.50166,91.799995
2,32,60000,25,0.0075,0.95,500,84.20167,89.8
2,32,60000,25,0.01,0.95,500,84.72834,90.0
0,128,60000,50,0.01,1.0,500,85.225006,90.6
2,32,60000,25,0.0075,0.9,500,83.1,88.8
2,32,60000,25,0.01,0.99,500,83.045006,87.6
2,32,60000,25,0.01,0.995,500,82.454994,87.4
2,32,60000,25,0.025,0.95,500,26.761665,67.4
0,128,60000,50,0.025,1.0,500,64.525,81.8
0,128,60000,50,0.01,0.99,500,86.22667,91.6
2,32,60000,25,0.0075,1.0,500,81.84,87.6
0,128,60000,50,0.025,0.995,500,81.1,87.8
0,128,60000,50,0.01,0.9,500,85.945,91.0
2,32,60000,25,0.01,0.9,500,84.221664,90.0
0,128,60000,50,0.0075,0.995,500,85.653336,91.0
2,128,60000,10,0.0075,0.9,500,84.175,89.600006
2,128,60000,10,0.0075,0.95,500,85.345,91.0
2,128,60000,10,0.0075,0.99,500,85.229996,90.4
0,128,60000,50,0.0075,0.9,500,84.675,90.200005
2,128,60000,10,0.0075,0.995,500,85.095,90.6
0,128,60000,50,0.025,0.99,500,81.87667,89.0
2,128,60000,10,0.0075,1.0,500,84.743324,90.200005
2,128,60000,10,0.01,0.9,500,85.25833,90.0
2,128,60000,10,0.01,0.95,500,85.825,90.6
0,256,60000,50,0.025,1.0,500,70.528336,81.2
0,256,60000,50,0.0075,0.995,500,85.45167,91.6
0,256,60000,50,0.01,0.95,500,86.33,91.2
1,512,60000,25,0.0075,1.0,500,84.915,91.799995
0,256,60000,50,0.025,0.995,500,79.10667,85.799995
1,256,60000,25,0.0075,0.95,500,85.793335,92.0
0,256,60000,50,0.01,0.99,500,86.16167,91.6
1,512,60000,25,0.0075,0.995,500,85.246666,91.799995
0,256,60000,50,0.025,0.99,500,82.56833,89.200005
1,512,60000,25,0.0075,0.95,500,85.746666,92.2
0,256,60000,50,0.025,0.95,500,87.325005,92.799995
0,256,60000,50,0.01,1.0,500,85.495,90.8
0,256,60000,50,0.01,0.9,500,85.99167,91.0
2,128,60000,10,0.01,0.99,500,85.75166,91.0
0,256,60000,50,0.0075,0.99,500,85.68499,91.6
0,256,60000,50,0.0075,1.0,500,85.23833,91.0
1,512,60000,25,0.01,0.995,500,85.621666,92.0
2,128,60000,10,0.01,1.0,500,84.808334,89.8
1,512,60000,25,0.01,0.9,500,85.49833,91.2
2,128,60000,10,0.025,0.995,500,80.22666,85.6
2,128,60000,10,0.025,0.99,500,83.74167,90.6
2,128,60000,10,0.01,0.995,500,85.368324,90.4
2,128,60000,10,0.025,0.9,500,86.90166,91.399994
1,512,60000,25,0.01,0.95,500,86.045006,92.6
1,512,60000,25,0.01,0.99,500,85.94833,92.4
2,128,60000,10,0.025,0.95,500,86.79333,91.6
0,256,60000,50,0.01,0.995,500,85.93166,92.0
1,128,60000,10,0.0075,0.99,500,85.22666,92.799995
0,256,60000,50,0.0075,0.9,500,85.10833,90.200005
2,32,60000,25,0.01,1.0,500,81.17333,86.4
2,64,60000,25,0.0075,0.9,500,84.53667,90.6
1,512,60000,25,0.01,1.0,500,84.971664,90.6
2,256,60000,10,0.025,0.995,500,34.593334,84.2
1,512,60000,25,0.0075,0.9,500,84.76667,91.399994
2,256,60000,10,0.0075,0.99,500,85.481674,92.2
0,256,60000,50,0.0075,0.95,500,86.12667,91.799995
2,256,60000,10,0.0075,1.0,500,84.956665,91.0
2,256,60000,10,0.0075,0.995,500,85.31834,91.799995
2,256,60000,10,0.01,0.9,500,85.45334,91.0
2,256,60000,10,0.01,0.95,500,86.02666,91.6
2,256,60000,10,0.025,0.9,500,87.10833,91.6
0,256,60000,50,0.025,0.9,500,87.518326,92.0
2,256,60000,10,0.01,0.995,500,85.715,92.2
2,256,60000,10,0.0075,0.95,500,85.42834,91.0
1,256,60000,25,0.0075,0.99,500,85.49333,91.2
2,256,60000,10,0.0075,0.9,500,84.40833,89.8
0,512,60000,50,0.01,0.99,500,85.59167,92.0
2,256,60000,10,0.01,0.99,500,86.020004,91.6
2,256,60000,10,0.01,1.0,500,85.13167,90.8
0,512,60000,50,0.0075,1.0,500,84.628334,91.0
0,512,60000,50,0.025,0.9,500,87.48667,92.2
2,128,60000,10,0.025,1.0,500,52.375,84.0
0,512,60000,50,0.025,0.95,500,86.918335,92.6
2,256,60000,10,0.025,1.0,500,56.82,85.0
2,256,60000,10,0.025,0.99,500,71.128334,85.2
