random_seed,n_neurons,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,200,60000,250.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,47.270004,47.295002,47.210003,70.0,70.0,68.8
0,300,60000,250.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,49.43834,49.483334,49.208332,70.0,70.0,68.0
0,400,60000,250.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,53.278336,53.791668,51.52333,70.4,70.0,66.399994
0,200,60000,250.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,55.708332,55.88667,56.145004,70.8,70.4,70.0
0,200,60000,250.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,50.028336,50.483334,54.565,69.2,68.8,70.4
0,400,60000,250.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,56.451668,56.668335,55.385002,73.6,74.0,72.0
0,200,60000,250.0,200,1.0,0.05,1e-07,0.5,50.0,10,250,50.77833,50.833332,50.520004,66.0,66.0,66.799995
0,100,60000,250.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,54.388332,54.853336,55.405003,67.6,68.0,66.399994
0,300,60000,250.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,55.195,55.651665,55.001667,72.0,72.799995,72.399994
0,300,60000,250.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,58.72667,58.93,58.756664,72.399994,72.399994,72.399994
0,300,60000,250.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,52.87,53.32167,56.311665,70.4,71.200005,70.8
0,400,60000,250.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,51.303333,51.33667,51.173336,72.799995,72.799995,73.2
0,300,60000,250.0,200,1.0,0.05,1e-07,0.5,50.0,10,250,51.681664,51.738335,51.70333,68.0,68.0,68.0
0,100,60000,250.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,38.396664,38.496662,38.836666,62.800003,62.800003,63.6
0,100,60000,250.0,300,1.0,0.05,1e-07,0.5,100.0,10,250,51.729996,52.10167,52.086666,65.200005,66.0,66.0
0,100,60000,250.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,49.60667,50.071663,53.268333,67.2,66.799995,67.2
0,100,60000,250.0,300,1.0,0.05,1e-07,0.5,150.0,10,250,45.183334,46.92,51.416668,63.200005,64.0,64.8
0,200,60000,250.0,300,1.0,0.05,1e-07,0.5,100.0,10,250,56.683334,56.743336,56.56333,68.4,68.4,67.6
0,500,60000,250.0,100,1.0,0.05,1e-07,0.5,150.0,10,250,54.38,54.85,51.70333,68.8,68.8,68.0
0,200,60000,250.0,300,1.0,0.05,1e-07,0.5,150.0,10,250,49.275,50.166668,53.298332,69.6,69.6,69.6
0,400,60000,250.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,55.436665,55.553333,57.03667,73.2,72.799995,71.200005
0,200,60000,250.0,300,1.0,0.05,1e-07,0.5,50.0,10,250,48.135002,48.181667,47.954998,66.0,66.0,67.2
0,500,60000,250.0,100,1.0,0.05,1e-07,0.5,100.0,10,250,55.804996,55.981667,54.928333,75.6,76.0,74.8
0,400,60000,250.0,200,1.0,0.05,1e-07,0.5,50.0,10,250,52.703335,52.826664,52.43833,70.0,70.0,70.0
0,100,60000,250.0,300,1.0,0.05,1e-07,0.5,50.0,10,250,40.1,40.108334,39.960003,60.000004,60.000004,59.600002
0,100,60000,250.0,200,1.0,0.05,1e-07,0.5,50.0,10,250,40.201668,40.20333,40.018333,61.6,61.6,60.000004
0,300,60000,250.0,300,1.0,0.05,1e-07,0.5,100.0,10,250,57.388332,57.458332,57.31,70.8,70.4,70.0
0,300,60000,250.0,300,1.0,0.05,1e-07,0.5,150.0,10,250,51.213333,51.736668,55.255,73.2,73.2,74.0
0,500,60000,250.0,100,1.0,0.05,1e-07,0.5,50.0,10,250,50.593334,50.758335,50.16,71.200005,72.0,71.200005
0,300,60000,250.0,300,1.0,0.05,1e-07,0.5,50.0,10,250,52.746666,52.821663,52.68,67.6,67.6,67.2
0,400,60000,250.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,56.628334,56.791668,56.616665,75.6,75.6,74.8
0,400,60000,250.0,300,1.0,0.05,1e-07,0.5,100.0,10,250,57.035,57.125,57.046665,75.6,75.6,72.799995
0,500,60000,250.0,200,1.0,0.05,1e-07,0.5,150.0,10,250,56.981667,57.118336,58.033333,73.6,73.6,74.8
0,400,60000,250.0,300,1.0,0.05,1e-07,0.5,150.0,10,250,54.013332,54.633335,56.075,72.399994,73.2,73.6
0,500,60000,250.0,200,1.0,0.05,1e-07,0.5,100.0,10,250,55.993336,56.19,55.793335,73.6,74.0,72.799995
0,400,60000,250.0,300,1.0,0.05,1e-07,0.5,50.0,10,250,52.16167,52.251667,51.975,70.0,70.0,70.8
0,500,60000,250.0,200,1.0,0.05,1e-07,0.5,50.0,10,250,53.458332,53.633335,53.143333,71.200005,71.200005,70.8
0,500,60000,250.0,300,1.0,0.05,1e-07,0.5,150.0,10,250,55.583332,55.969997,57.61333,73.2,73.2,72.0
0,500,60000,250.0,300,1.0,0.05,1e-07,0.5,100.0,10,250,56.249996,56.365,56.239998,72.799995,72.799995,71.6
0,500,60000,250.0,300,1.0,0.05,1e-07,0.5,50.0,10,250,54.331665,54.466667,53.940002,70.4,70.4,69.6
0,300,60000,250.0,250,1.0,1.0,1e-05,0.5,150.0,10,250,50.878338,51.125,51.085003,61.199997,60.8,62.0
0,300,60000,250.0,250,1.0,1.0,1e-05,0.5,125.0,10,250,49.356667,49.605,49.781666,63.200005,63.6,64.0
0,300,60000,250.0,250,1.0,0.5,1e-05,0.5,150.0,10,250,49.206665,49.375,49.760002,62.0,62.0,61.6
0,300,60000,250.0,250,1.0,0.5,1e-05,0.5,100.0,10,250,45.705,45.928337,45.8,61.6,62.0,61.199997
0,300,60000,250.0,250,1.0,1.0,1e-05,0.5,100.0,10,250,46.46167,46.59,46.618336,63.200005,64.0,61.6
0,300,60000,250.0,250,1.0,0.1,1e-05,0.5,100.0,10,250,40.818336,41.055,41.414997,59.600002,60.000004,59.2
0,300,60000,250.0,250,1.0,0.1,1e-05,0.5,125.0,10,250,43.18667,43.556667,44.260002,59.2,59.2,59.600002
0,300,60000,250.0,250,1.0,0.5,1e-06,0.5,100.0,10,250,63.52833,63.65333,63.445,73.6,74.0,73.6
0,300,60000,250.0,250,1.0,0.1,1e-05,0.5,150.0,10,250,44.373333,44.718334,45.688335,63.200005,63.6,62.0
0,300,60000,250.0,250,1.0,0.1,1e-06,0.5,100.0,10,250,57.775,57.931664,57.958332,69.6,69.2,70.0
0,300,60000,250.0,250,1.0,0.1,1e-06,0.5,125.0,10,250,55.51,55.688335,55.685,67.6,67.6,68.0
0,300,60000,250.0,250,1.0,0.1,1e-06,0.5,150.0,10,250,58.236668,58.479996,58.463333,67.6,67.6,69.6
0,300,60000,250.0,250,1.0,0.5,1e-05,0.5,125.0,10,250,47.098335,47.36333,47.288334,62.0,61.6,62.0
0,300,60000,250.0,250,1.0,0.05,1e-05,0.5,100.0,10,250,38.19833,38.475,39.275,58.399998,57.6,58.8
