random_seed,kernel_size,stride,n_filters,crop,n_train,inhib,time,timestep,theta_plus,theta_decay,intensity,norm,progress_interval,update_interval,mean_all_activity,mean_proportion_weighting,mean_ngram,max_all_activity,max_proportion_weighting,max_ngram
0,16,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,56.163334,57.186665,62.77333,66.799995,66.799995,70.8
0,10,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,54.06,54.458332,62.451664,66.799995,67.2,73.2
0,20,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,41.29333,41.95333,50.133335,57.6,60.399998,63.200005
0,18,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,50.08667,49.425,56.266666,62.0,60.399998,66.399994
0,20,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,61.27833,61.241665,65.153336,71.200005,70.8,74.4
0,20,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,64.723335,65.10667,67.22,71.6,71.6,76.0
0,20,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,52.253334,52.159996,58.211666,63.6,64.8,67.6
0,18,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,63.091667,63.59833,66.94666,73.6,72.0,76.4
0,18,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,57.066666,57.22667,62.298332,67.2,68.8,71.200005
0,18,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,59.496662,59.738335,65.236664,73.2,72.399994,75.2
0,18,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,62.228333,62.780003,66.013336,72.399994,72.399994,73.2
0,18,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,62.248333,62.530003,65.73,73.6,70.8,74.4
0,20,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,59.23,59.716667,64.441666,67.6,68.4,73.6
0,20,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,61.754997,62.168335,65.6,74.4,75.2,74.4
0,18,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,61.07333,60.958332,65.738335,71.200005,72.0,74.4
0,14,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,52.528336,53.033333,60.470005,70.4,70.4,71.200005
0,18,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,57.07,57.366665,63.701668,70.0,69.2,74.0
0,16,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,45.15667,43.963333,57.0,56.4,54.8,65.200005
0,12,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,57.023335,57.82,63.81,69.6,70.8,74.4
0,16,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,58.27333,58.475,65.43333,71.6,71.6,73.2
0,20,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,50.068336,50.245,57.98833,60.000004,59.2,66.0
0,10,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,57.031666,58.38833,67.60667,66.799995,67.6,76.8
0,20,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,46.416668,45.928337,51.988335,58.399998,56.4,62.0
0,16,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,53.164997,52.725,62.114998,65.6,64.8,72.0
0,20,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,60.183334,60.443336,63.173332,67.6,69.2,71.200005
0,10,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,58.558334,60.31333,67.72666,66.799995,69.2,75.6
0,16,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,54.043335,52.916668,61.906666,66.0,64.4,70.8
0,10,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,46.905003,46.845005,57.41,63.6,65.6,67.6
0,12,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,60.06333,61.608337,68.02166,70.4,72.799995,78.4
0,10,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,59.738335,61.14667,67.195,69.2,69.2,76.8
0,10,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,60.458332,61.16,66.00667,71.200005,73.2,75.2
0,12,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,60.196667,61.646664,66.64167,71.200005,72.799995,76.4
0,12,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,59.94,60.84,67.886665,69.2,70.0,76.8
0,16,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,48.989998,47.925,59.20667,60.399998,58.399998,69.2
0,20,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,53.003334,53.16,58.59667,65.200005,65.6,69.2
0,14,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,60.59833,61.93667,68.829994,70.0,71.200005,80.0
0,14,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,60.181667,61.558334,65.939995,71.6,73.6,75.2
0,20,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,55.92167,55.626667,61.923336,67.2,65.200005,71.6
0,14,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,61.225,62.615,68.88333,71.6,73.6,79.6
0,14,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,61.739998,63.33833,69.30999,71.200005,74.4,79.2
0,14,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,62.929996,64.46,68.638336,72.799995,72.799995,80.8
0,18,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,38.158333,39.42667,49.0,55.6,56.800003,62.0
0,16,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,64.34167,65.17667,69.268326,74.8,74.0,78.0
0,16,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,59.26333,59.553337,67.228325,68.8,68.4,78.0
0,16,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,62.593334,62.989998,68.055,71.200005,71.200005,76.8
0,12,4,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,48.001667,47.9,58.43834,65.200005,63.6,68.8
0,18,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,58.44,58.266666,63.739998,70.0,68.4,72.799995
0,18,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,50.91667,50.356667,58.635002,62.800003,61.6,68.4
0,14,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,60.429996,61.908333,69.03667,72.0,71.6,79.6
0,14,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,49.313335,47.34,59.193336,57.6,55.6,70.0
0,18,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,58.978336,59.159996,62.920002,70.0,70.0,74.0
0,14,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,60.289997,61.404995,68.490005,69.6,70.8,80.8
0,12,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,59.750004,60.743336,68.27166,69.2,72.399994,76.8
0,18,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,53.591667,53.171673,60.256664,64.4,64.0,69.6
0,14,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,60.853336,62.420002,68.61667,72.799995,72.799995,78.0
0,14,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,52.41,51.406666,62.281666,61.6,62.0,72.399994
0,12,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,56.34,55.903336,61.16,69.2,70.4,71.6
0,16,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,62.030003,62.166668,68.385,71.6,73.6,77.600006
0,16,2,25,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,41.125,40.614998,51.491665,63.6,60.399998,65.200005
0,20,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,61.465004,61.69,65.89333,74.8,74.4,76.4
0,18,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,63.95,64.29,67.40833,74.4,75.6,77.600006
0,14,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,62.893333,64.49,68.643326,72.0,73.2,76.8
0,20,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,53.770004,53.625,59.77333,67.6,67.6,70.4
0,18,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,63.02833,63.31,66.42834,74.8,74.4,76.0
0,18,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,61.168335,62.05167,65.90833,70.4,71.200005,77.200005
0,16,4,125,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.2,10,250,63.4,64.46,68.86,72.399994,74.0,78.0
0,10,4,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,51.271664,51.756668,59.525,66.399994,70.0,68.8
0,20,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.15,10,250,64.74167,64.975,67.225,74.4,73.6,78.0
0,16,4,100,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,62.566666,63.245,67.743324,70.4,73.6,76.0
0,18,2,50,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,57.181664,57.253334,62.045002,70.0,68.8,72.0
0,18,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.05,10,250,59.47667,60.029995,64.325,68.8,69.6,74.4
0,20,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.1,10,250,61.129997,61.66167,65.909996,74.0,74.0,74.0
0,18,4,150,0,60000,250.0,250,1.0,0.05,1e-07,0.5,0.25,10,250,54.82333,55.58833,62.231667,68.0,68.0,71.200005
